Rank,Country,Capital,2022 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
1,China,Beijing,1425887337,9706961,146.8933,1.0,17.88
2,India,New Delhi,1417173173,3287590,431.0675,1.0068,17.77
3,United States,"Washington, D.C.",338289857,9372610,36.0935,1.0038,4.24
4,Indonesia,Jakarta,275501339,1904569,144.6529,1.0064,3.45
5,Pakistan,Islamabad,235824862,881912,267.4018,1.0191,2.96
6,Nigeria,Abuja,218541212,923768,236.5759,1.0241,2.74
7,Brazil,Brasilia,215313498,8515767,25.2841,1.0046,2.7
8,Bangladesh,Dhaka,171186372,147570,1160.035,1.0108,2.15
9,Russia,Moscow,144713314,17098242,8.4636,0.9973,1.81
10,Mexico,Mexico City,127504125,1964375,64.9082,1.0063,1.6
11,Japan,Tokyo,123951692,377930,327.9753,0.9947,1.55
12,Ethiopia,Addis Ababa,123379924,1104300,111.7268,1.0257,1.55
13,Philippines,Manila,115559009,342353,337.5434,1.0147,1.45
14,Egypt,Cairo,110990103,1002450,110.7188,1.0158,1.39
15,DR Congo,Kinshasa,99010212,2344858,42.2244,1.0325,1.24
16,Vietnam,Hanoi,98186856,331212,296.4472,1.0074,1.23
17,Iran,Tehran,88550570,1648195,53.7258,1.0071,1.11
18,Turkey,Ankara,85341241,783562,108.9145,1.0067,1.07
19,Germany,Berlin,83369843,357114,233.4544,0.9995,1.05
20,Thailand,Bangkok,71697030,513120,139.7276,1.0013,0.9
